Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
Gerald Henderson,CHA,28.9,0.321043705153294,0.204931506849315,0.0921939552076538,0.0239182430963253,0.0745015171218032,0.0551724137931035,0.306,0.341714285714286
Tyler Hansbrough,TOR,14.3,0.139634263715111,0.1088354186718,0.0211742059672762,0.00962463907603465,0.068927488282327,0.020979020979021,0.386862812179268,0.421074238795758
Austin Daye,SAS,10.3,0.292290909090909,0.212290909090909,0.0472727272727273,0.0327272727272727,0.111968151281413,0.0485436893203883,0.350841346153846,0.404927884615385
James Johnson,TOR,19.6,0.263075229357798,0.164726605504587,0.0693577981651376,0.0289908256880734,0.110199754491686,0.0459183673469388,0.350413739266198,0.412084309133489
Jrue Holiday,NOP,32.6,0.446756652526032,0.218835325877362,0.192826841496336,0.0350944851523332,0.0785539173371085,0.190184049079755,0.234867549668874,0.272533112582781
Ty Lawson,DEN,35.5,0.503828251849179,0.195872271333213,0.274580552047628,0.0333754284683384,0.06624366209287,0.205056179775281,0.19722434150772,0.230830154405086
Jeff Teague,ATL,30.5,0.503174182139699,0.227091069849691,0.230769230769231,0.0453138815207781,0.0900560544026428,0.191419141914191,0.20696212731668,0.24825946817083
Darren Collison,SAC,34.8,0.390170860515688,0.196011183597391,0.159366262814539,0.0347934141037589,0.0891748144845377,0.198275862068966,0.194740740740741,0.229308641975309
Omri Casspi,SAC,21.1,0.282382920110193,0.175977961432507,0.0761019283746557,0.0303030303030303,0.107311838446905,0.0473933649289099,0.311325007614986,0.36493451111788
Taj Gibson,CHI,27.3,0.248931804465902,0.177115268557634,0.0485817742908871,0.0232347616173808,0.0933378588052754,0.032967032967033,0.415223542727787,0.469694397283531
DeMarre Carroll,ATL,31.3,0.238153846153846,0.165755656108597,0.0554298642533937,0.0169683257918552,0.07124943000456,0.045016077170418,0.282110127069696,0.310989603388525
Wayne Ellington,LAL,25.8,0.27802513464991,0.193046080191502,0.0700179533213645,0.0149611011370437,0.0538120452882173,0.062015503875969,0.362245929253229,0.390320044918585
Jeff Ayres,SAS,7.5,0.228322324966975,0.146420079260238,0.047556142668428,0.0343461030383091,0.150428141633881,0.04,0.329292929292929,0.406535947712418
Dante Cunningham,NOP,25,0.155196479094624,0.113071361207168,0.0311222885884942,0.0110028292989626,0.0708961270458597,0.0199203187250996,0.356189344424639,0.390849673202614
Jonas Jerebko,BOS,18.2,0.262406015037594,0.182518796992481,0.0629699248120301,0.0169172932330827,0.0644699140401146,0.0384615384615385,0.380485893416928,0.415752351097179
Jonas Jerebko,DET,15.3,0.245510204081633,0.155860058309038,0.0706997084548105,0.0189504373177843,0.0771879824248902,0.0392156862745098,0.3058352402746,0.343020594965675
Jodie Meeks,DET,24.4,0.286684969114619,0.207412491420728,0.0597117364447495,0.0195607412491421,0.0682307876466363,0.0327868852459016,0.416253443526171,0.455509641873278
Patrick Beverley,HOU,30.8,0.295970695970696,0.157340095801634,0.115243730628346,0.0233868695407157,0.079017517136329,0.12621359223301,0.196287964004499,0.225464004499438
Marcus Thornton,BOS,16.4,0.338503816793893,0.249954198473282,0.0717557251908397,0.016793893129771,0.0496121233988815,0.0548780487804878,0.430558842866535,0.459487179487179
Chase Budinger,MIN,19.2,0.240950555768494,0.16314296665389,0.0590264469145266,0.0187811422000767,0.0779460422499364,0.0257731958762887,0.363019189765458,0.404810234541578
Nick Calathes,MEM,14.4,0.384029038112523,0.16140350877193,0.185722928009679,0.0369026013309135,0.0960932577189666,0.173611111111111,0.163120567375887,0.200415749572023
Danny Green,SAS,28.5,0.256900432900433,0.171835497835498,0.0649350649350649,0.0201298701298701,0.0783566999191157,0.0491228070175439,0.270745515312734,0.302462314985335
Patty Mills,SAS,15.7,0.341053921568627,0.216666666666667,0.102941176470588,0.0214460784313725,0.0628817822493712,0.127388535031847,0.225108225108225,0.247389865036924
Garrett Temple,WAS,14.1,0.225148247978437,0.128787061994609,0.0734501347708895,0.022911051212938,0.101759846761643,0.0563380281690141,0.23712158808933,0.279305210918114
Wesley Matthews,POR,33.7,0.286118565503781,0.199024152232252,0.067333495974628,0.0197609172969017,0.0690654843110505,0.0443786982248521,0.359700176366843,0.395414462081129
Alonzo Gee,DEN,13.1,0.231698113207547,0.15622641509434,0.0518867924528302,0.0235849056603774,0.101791530944625,0.0305343511450382,0.362919132149901,0.417707648476879
John Wall,WAS,35.9,0.556297451898076,0.229724388975559,0.273877621771538,0.0526954411509794,0.0947252966397447,0.228412256267409,0.196206973129025,0.24121400547783
Evan Turner,BOS,27.6,0.408824546240277,0.174598098530683,0.191443388072602,0.0427830596369922,0.104648950339316,0.16,0.186278758817834,0.231924016782701
Derrick Favors,UTA,30.8,0.330994525547445,0.24271897810219,0.0606751824817518,0.0276003649635037,0.083386167544174,0.051948051948052,0.329049415548271,0.36646669552848
Wesley Johnson,LAL,29.5,0.235030946065429,0.163633952254642,0.0521662245800177,0.0192307692307692,0.0818222857572794,0.0304054054054054,0.366185199841709,0.409220419469727
DeMarcus Cousins,SAC,34.1,0.478934108527132,0.315901162790698,0.101501937984496,0.061531007751938,0.128474891757375,0.0796460176991151,0.453847492430307,0.542247589879233
Greg Monroe,DET,31,0.351076339497392,0.237278330962542,0.0784732100521574,0.0353247984826932,0.100618567839875,0.0578778135048231,0.463416215215076,0.532407278788721
Al-Farouq Aminu,DAL,18.5,0.215183850036049,0.147411679884643,0.0479452054794521,0.0198269646719539,0.0921396502043825,0.0324324324324324,0.373374726077429,0.423593864134405
Gordon Hayward,UTA,34.4,0.438157842944302,0.253942137374533,0.14367250541232,0.0405432001574493,0.0925310383240203,0.107558139534884,0.270771426173088,0.31400151095442
Cole Aldrich,NYK,16,0.29290728129911,0.172425353588266,0.0895756940806705,0.0309062336301729,0.105515415981115,0.0434782608695652,0.343698444189203,0.405304375065261
Ed Davis,LAL,23.3,0.217198697068404,0.149880564603692,0.0515743756786102,0.0157437567861021,0.0724855028994201,0.0343347639484979,0.44803635183382,0.495098993833171
Patrick Patterson,TOR,26.6,0.207981330221704,0.133068844807468,0.0623103850641774,0.0126021003500583,0.0605924596050269,0.0263157894736842,0.312866941015089,0.342496570644719
Larry Sanders,MIL,21.7,0.222229617304493,0.160665557404326,0.0382695507487521,0.0232945091514143,0.10482180293501,0.032258064516129,0.43613369467028,0.49936766034327
Luke Babbitt,NOP,13.2,0.163557168784029,0.121209921355112,0.0266182698124622,0.0157289776164549,0.0961680722000296,0.0229007633587786,0.361399711399711,0.408297258297258
Kevin Seraphin,WAS,15.6,0.304053601340033,0.203551088777219,0.059463986599665,0.0410385259631491,0.134971353018951,0.0448717948717949,0.410194092827004,0.492894514767932
Eric Bledsoe,PHX,34.6,0.437940360610264,0.21498613037448,0.175450762829404,0.04750346740638,0.108470174660734,0.167630057803468,0.231605685362619,0.282781419846473
Avery Bradley,BOS,31.5,0.290843806104129,0.210652304009575,0.0584480351087173,0.0217434669858368,0.0747599451303155,0.0444444444444444,0.419397116644823,0.462687159934866
Trevor Booker,UTA,19.8,0.27946648882961,0.176432144048016,0.0736912304101367,0.0293431143714572,0.104996897818928,0.0505050505050505,0.237507855283239,0.277008708142562
Quincy Pondexter,MEM,18,0.209867172675522,0.140607210626186,0.0597722960151803,0.0094876660341556,0.0452079566003617,0.0333333333333333,0.280681818181818,0.299621212121212
